datetime	open	high	low	close	volume
15.12.2022 19:50	135.07	135.14	135.07	135.08	3537
15.12.2022 19:55	135.08	135.17	135.07	135.13	5532
15.12.2022 20:00	135.13	135.15	134.86	134.97	10292
15.12.2022 20:05	134.97	135.06	134.95	135.06	4418
15.12.2022 20:10	135.05	135.23	135.05	135.23	7241
15.12.2022 20:15	135.23	135.35	135.15	135.15	12212
15.12.2022 20:20	135.21	135.28	135.13	135.16	4499
15.12.2022 20:25	135.16	135.16	135.12	135.16	2214
15.12.2022 20:30	135.15	135.2	135.15	135.19	4853
15.12.2022 20:35	135.19	135.21	135.18	135.2	1764
15.12.2022 20:40	135.19	135.21	135.0	135.1	13674
15.12.2022 20:45	135.09	135.12	135.08	135.11	3002
15.12.2022 20:50	135.13	135.23	135.13	135.2	5028
15.12.2022 20:55	135.23	135.3	135.2	135.3	5092
15.12.2022 21:00	135.3	135.35	135.25	135.27	5480
15.12.2022 21:05	135.29	135.31	135.28	135.3	3259
15.12.2022 21:10	135.29	135.3	135.14	135.22	5212
15.12.2022 21:15	135.2	135.28	135.18	135.28	1396
15.12.2022 21:20	135.24	135.29	135.17	135.26	1614
15.12.2022 21:25	135.25	135.29	135.17	135.25	11589
15.12.2022 21:30	135.24	135.26	135.16	135.23	5826
15.12.2022 21:35	135.23	135.23	135.05	135.13	12771
15.12.2022 21:40	135.13	135.2	135.13	135.15	2229
15.12.2022 21:45	135.18	135.2	135.1	135.19	5506
15.12.2022 21:50	135.13	135.2	135.1	135.1	3345
15.12.2022 21:55	135.12	135.13	135.04	135.12	1848
15.12.2022 22:00	135.12	135.2	135.09	135.2	2437
15.12.2022 22:05	135.15	135.2	135.0	135.01	15385
15.12.2022 22:10	135.01	135.09	134.9	135.07	14413
15.12.2022 22:15	135.07	135.07	134.9	134.93	6750
15.12.2022 22:20	134.95	134.99	134.9	134.98	8453
15.12.2022 22:25	134.98	134.99	134.96	134.99	9001
15.12.2022 22:30	134.99	135.0	134.96	134.99	7536
15.12.2022 22:35	135.0	135.05	134.9	134.97	3476
15.12.2022 22:40	134.99	134.99	134.92	134.97	2743
15.12.2022 22:45	134.99	135.0	134.97	135.0	3706
15.12.2022 22:50	135.0	135.0	134.91	134.97	4149
15.12.2022 22:55	134.97	135.0	134.95	135.0	2069
15.12.2022 23:00	135.0	135.0	134.95	134.96	4335
15.12.2022 23:05	134.95	135.0	134.85	134.85	10605
15.12.2022 23:10	134.84	134.97	134.84	134.92	3699
15.12.2022 23:15	134.92	134.95	134.75	134.85	17554
15.12.2022 23:20	134.85	134.86	134.74	134.84	5492
15.12.2022 23:25	134.82	134.86	134.76	134.78	4797
15.12.2022 23:30	134.77	134.8	134.74	134.77	8952
15.12.2022 23:35	134.76	134.78	134.55	134.68	21699
15.12.2022 23:40	134.67	134.73	134.55	134.57	15748
15.12.2022 23:45	134.56	134.75	134.53	134.55	23883
16.12.2022 09:55	134.5	134.5	134.5	134.5	7085
